	Report_title	Report_description
#9569482	Encampment at 480 TEHAMA ST	Tent
#9574637	Street or Sidewalk Cleaning at 1405 UTAH ST	
#9574633	Blocked Pedestrian Walkway at 1423 SAN BRUNO AVE	Tents and homeless debris
#9574434	Street or Sidewalk Cleaning at 808 LARKIN ST	
#9565515	Street or Sidewalk Cleaning at 64 SUMNER ST	Feces
#9574535	Street or Sidewalk Cleaning at 6114 FULTON ST	Dead raccoon
#9574638	Flooding & Sewer Issues at 1815 OAK ST	This building has a leaky faucet and they have been using a styrofoam cooler to catch the leak for weeks!! It leaks all over the sidewalk and is a hazard as well as a breeding ground for mosquitoes
#9574678	Flooding & Sewer Issues at 1526 MCKINNON AVE	Still leaking after 4 months. Work on Case number 9307475 did not resolve the issue.
#9574908	Flooding & Sewer Issues at 2763 MCALLISTER ST	Dirty water is coming out from street sewer.   There's toilet paper and pop on the side walk and people are walking with kids and their pets.
#9574905	Encampment at 350 Redwood St Fillmore District	Homeless encampment, drug use and selling drugs.
#9574847	Street or Sidewalk Cleaning at 617 NATOMA ST	Soiled toilet paper
#9574903	Encampment at 2503 Folsom St Mission District	There is a ton of trash. I cannot walk by, this group is very noisy at nighttime.
#9573434	Encampment at 695 GREENWICH ST	Homeless individuals camped out under scaffolding on private property.
#9565757	Street or Sidewalk Cleaning at 1619 HARRISON ST	Human feces
#9574029	Street or Sidewalk Cleaning at Intersection of Hattie St & 18th St	Bags of compost and boxes of misc
#9573788	Street or Sidewalk Cleaning at 717 CHESTNUT ST	Two pieces of kitchen furniture blocking sidewalk. Next to black drop gate garage near telephone poll
#9574701	Garbage Containers at 1310 POTRERO AVE	
#9574700	Blocked Pedestrian Walkway at 201 BRYANT ST	Encampment several others under bridge
#9411132	Damaged Public Property at 289 EDDY ST	Broken meter
#9574548	Street or Sidewalk Cleaning at 609 DUBOCE AVE	East Portal madness homeless attempt at what?...
#9574705	Graffiti at 1219 POTRERO AVE	
#9574545	Graffiti at 45 Bartlett St	Graffiti on curb
#9574544	Noise Issue at 426 RUSSIA AVE	There is a large group of women working out in the Excelsior Playground and blasting really loud music at a very unreasonable level. We don't want them to leave, just turn it to a reasonable level.
#9574709	Street or Sidewalk Cleaning at 1233 HOWARD ST	Homeless person left trash, vomit covered blanket, human waste, and bags.
#9574444	Street or Sidewalk Cleaning at 4950 CALIFORNIA ST	Lamp fixture
#9568015	Encampment at 1840 SACRAMENTO ST	Please remove this encampment again.
#9574522	Street or Sidewalk Cleaning at 2230 JERROLD AVE	Debris
#9574520	Street or Sidewalk Cleaning at 350 JONES ST	Waste
#9574525	Street or Sidewalk Cleaning at Intersection of Judah St & 12th Ave	
#9568518	Street or Sidewalk Cleaning at 389 GOLDEN GATE AVE	Street and sidewalk cleaning for homeless encampments-- Needle & encampment debris in front of  B of A ATM vestibule and sidewalk into street
#9560683	Encampment at 1840 SACRAMENTO ST	Please remove homeless person and debris
#9448600	Graffiti at 17 CHARLES J BRENHAM PL	Graffiti on SFPARK side of Carl's Jr. Eddy and Cyril magnin
#9574871	Street or Sidewalk Cleaning at 377 LONDON ST	
#9574285	Street or Sidewalk Cleaning at 1295 SILVER AVE	Carpet
#9538270	Encampment at Intersection of Shipley St & 5th St	Blocking the sidewalk with a huge cart of garbage. Makes the whole block smell like a toilet.
#9574879	Street or Sidewalk Cleaning at 1 GAISER CT	poop smeared on sidewalk
#9574320	Street or Sidewalk Cleaning at 379 VIENNA ST	
#9574735	Blocked Driveway & Illegal Parking at 74 Piedmont St Ashbury Heights	Car is parked a two feet into driveway making access impossible
#9574267	Street or Sidewalk Cleaning at 701 MINNA ST	701 Minna- used hypodermic on sidewalk near tree
#9547352	Encampment at 209 BERRY ST	Homeless encampment
#9573895	Encampment at 480 TEHAMA ST	Tent. Been here every night for at least three nights.
#9559008	Encampment at 350 UNIVERSITY ST	Recreational Vehicle Lic. Plate 7BVW406
#9570720	Street or Sidewalk Cleaning at Intersection of Irving St & 16th Ave	
#9574885	Street or Sidewalk Cleaning at 5343 GEARY BLVD	LROF-2674-City garbage can overflowing
#9574886	Encampment at 16 CAMP ST	homeless encampment
#9574887	Abandoned Vehicles at 2539 43rd Ave Parkside	The car has been parking at this spot for more than 2 weeks.
#9574881	Street or Sidewalk Cleaning at 264 9th St South of Market	Lots of feces on this block
#9574074	Street or Sidewalk Cleaning at 363 GRANT AVE	Trash and debris
#9574788	Abandoned Vehicles at 1691 29th Ave Outer Sunset	White Toyota Carolla parked on the corner for over 72 hours.
#9574291	Street or Sidewalk Cleaning at 200 BOYLSTON ST	Box and computer
#9573800	Encampment at Intersection of Davis St & Clay St	People are camping overnight in the trees. Unhealthy and unsafe.
#9574293	Street or Sidewalk Cleaning at 45 MAIDEN LN	Trash and homeless sleeping
#9574297	Street or Sidewalk Cleaning at 2890 CALIFORNIA ST	Broken glass and furniture tossed everywhere and broken.
#9574805	Blocked Pedestrian Walkway at 2297 MISSION ST	Blocked sidewalk
#9574806	Street or Sidewalk Cleaning at 242 TURK ST	Human feces
#9574687	Blocked Pedestrian Walkway at 44 STEINER ST	Cart
#9574129	Street or Sidewalk Cleaning at 455 MANSELL ST	Garbage dumped on sidewalk
#9574803	Encampment at 950 HOWARD ST	
#9574720	Street or Sidewalk Cleaning at 80 29TH ST	Shelf on 29th at San Jose, northeast corner
#9574808	Garbage Containers at 2103 VAN NESS AVE	Garbage container overflowing
#9566980	Street or Sidewalk Cleaning at 199 TURK ST	Dog waste
#9574608	Blocked Pedestrian Walkway at 601 CHURCH ST	Encampment next to this
#9541913	Encampment at Vallejo & Taylor Russian Hill SF	Tent set up in north east corner of park.  Drug use, human waste evident
#9574048	Blocked Pedestrian Walkway at 360 HYDE ST	Palette, kitchen stove. garbage bags, garbage blocking sidewalks on all curbs
#9549092	Encampment at 1760 VAN NESS AVE	Two homeless encamped on sidewalk
#9574894	Street or Sidewalk Cleaning at 235 PARIS ST	
#9574899	Street or Sidewalk Cleaning at 26 CAMP ST	Blue tarp with garbage
#9574898	Graffiti at Intersection of Welsh St & End (100 Block Of)	Spray painted graffiti on illegal structure in public sidewalk
#9574893	Street or Sidewalk Cleaning at 2501 Folsom St Mission District	Encampment. Lots of trash. Needles. Feces.
#9574663	Blocked Driveway & Illegal Parking at 1399 POTRERO AVE	Living in vehicle
#9574664	Park Requests at J.P. Murphy Playground	A number of nice mature Monterey Cypress were recently cut down. We acknowledge that you do not wish to replant Monterey Cypress, but the trees should be replanted in accordance with city regulations. Perhaps you can plant a smaller speci...
#9574665	Encampment at Intersection of Polk St & Myrtle St	3 more tents, very disturbing comments when passing by. Not safe for pedestrians
#9574667	Street or Sidewalk Cleaning at 798 GILMAN AVE	Tires, appliances, car hood, and other debris
#9574892	Blocked Driveway & Illegal Parking at 132 Mallorca Way Marina District	Truck blocking my driveway so can’t acfess
#9528388	Encampment at 1755 VAN NESS AVE	"Timothy is encamped by the ""Relax The Back"" store.

I'd take a picture but since he is alert at this time I don't want him to attack me. 

He just exchanged cigarettes with the encampment I reported on Clay near Van Ness.

Please break up..."
#9574890	Street or Sidewalk Cleaning at 2579 Folsom St Mission District	Trash everywhere from an encampment. Needles and feces
#9574112	Street or Sidewalk Cleaning at 100 Roanoke St Glen Park	Table and bucket dumped on street at this address, on Laidley street
#9574816	Street or Sidewalk Cleaning at 100 DOLORES ST	Fish tank
#9574815	Street or Sidewalk Cleaning at Intersection of Duboce Ave & Steiner St	Broken glass, garbage
#9574813	Street or Sidewalk Cleaning at 168 HYDE ST	Feces
#9574759	Graffiti at 900 TENNESSEE ST	On south side of 20th St bridge, adjacent to 900 Tennessee
#9574692	Blocked Driveway & Illegal Parking at 945 MINNESOTA ST	Car in driveway encroaching to block most/all of the sidewalk. VC does not allow any encroachment.
#9574756	Abandoned Vehicles at 5106A Diamond Heights Blvd Diamond Heights	Address is on south side of the street. The boat and attached van are directly across the street, where there are no addresses, at cross street Carnelian Way.
#9574698	Encampment at 535 MINNESOTA ST	
#9574752	Blocked Driveway & Illegal Parking at 2391 47th Ave Parkside	
#9574595	Blocked Pedestrian Walkway at Intersection of Girard St & Wayland St	"Blocking access for disabled people
Model:mazda3  License Plate:6MNF918 Color:Gray"
#9574260	Street or Sidewalk Cleaning at 622 NATOMA ST	Homeless needles and shelter
#9557847	Encampment at 1085 OFARRELL ST	Recurring encampment of knuckleheads on the North side of Offarrel between Franklin and Van Ness
#9574617	Damaged Public Property at Intersection of Taylor St & The Embarcadero	Railing rear of The Wharf Store.
#9574680	Street or Sidewalk Cleaning at 1281 POTRERO AVE	
#9574612	Encampment at 601 CHURCH ST	Encampment blocking sidewalk
#9573587	Encampment at 3850 17TH ST	Blocking the exit
#9574570	Street or Sidewalk Cleaning at 389 NAPLES ST	
#9573582	Street or Sidewalk Cleaning at 3320 CALIFORNIA ST	this was closed but the tv was still there today
#9574672	Street or Sidewalk Cleaning at 2745 25TH ST	
#9574579	Blocked Driveway & Illegal Parking at 838 Pacific Ave Chinatown	Multiple cars blocking alley entry and pedestrian crosswalk.
#9574674	Street or Sidewalk Cleaning at 3127 23RD ST	Cardboard and human waste
#9539203	Encampment at Intersection of Duboce Ave & Church St	Encampment and trash at SE corner of Duboce and Church
#9574820	Noise Issue at Excelsior Playground	Loud amplified music since 9am . Weekly occurrence. They don't need to leave they just need to TURN IT DOWN
#9530259	Encampment at 26 LANGTON ST	Two tents popped up over the weekend after you guys cleaned it up.
#9574824	Street or Sidewalk Cleaning at Intersection of Palou Ave & Rankin St	2015 Palou repeatedly illegally dumping garbage at corner. I have over and over reported this and you do nothing. Who do I contact to legally resolve this?
#9574567	Street or Sidewalk Cleaning at 1435 SAN BRUNO AVE	Large pile of junk, chairs
#9574745	Street or Sidewalk Cleaning at 165 MALLORCA WAY	Used hypodermic needle outside our entrance
